rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
38,"spotify:track:3JEYn4Ewai3sGkJl01v9Of","VALMAR, Nemazalány, Sofi","Álmatlan esték","VLMR MUSIC",17,40,35,"67389"
39,"spotify:track:3Xourl4xRz7cfHMznl0PlR","ByeAlex és a Slepp, Manuel","Rossz esték","Gold Record Music Kft.",1,41,32,"66060"
40,"spotify:track:6JIC3hbC28JZKZ8AlAqX8h","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","EMI",9,42,46,"65536"
41,"spotify:track:1PckUlxKqWQs3RlWXVBLw3","Lizzo","About Damn Time","Nice Life/Atlantic",9,39,9,"63750"
42,"spotify:track:7N1bEUVuQo8HHuikDgJ10c","iamnotshane","Maybe My Soulmate Died","Chasing The Wind Music",37,37,2,"61811"
43,"spotify:track:3rmo8F54jFF8OgYsqTxm5d","Ed Sheeran","Bad Habits","Atlantic Records UK",1,45,53,"61144"
44,"spotify:track:3ANOQpQLmv4xAyxLSOk9HC","Kolg8eight","2021","6000 RECORDS",2,46,18,"60424"
45,"spotify:track:2DB4DdfCFMw1iaR6JaR03a","Camila Cabello, Ed Sheeran","Bam Bam (feat. Ed Sheeran)","Epic",27,43,17,"60390"
46,"spotify:track:2DgdHcjWmO3qd50RzuBLgZ","Panic! At The Disco","House of Memories","Decaydance/Fueled By Ramen",12,44,12,"60102"
47,"spotify:track:50nfwKoDiSYg8zOCREWAm5","Ed Sheeran","Shivers","Atlantic Records UK",7,49,42,"59570"
48,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,47,51,"58594"
49,"spotify:track:2PHgjJwswIHOhXexoizfT0","ByeAlex és a Slepp, Hiro","Hullik","Gold Record Music Kft.",5,50,50,"57911"
50,"spotify:track:7fZBQnc0zXwVybgCIrQQil","Imanbek, BYOR","Belly Dancer","Musical Freedom",50,56,10,"56529"
51,"spotify:track:4h9wh7iOZ0GGn8QVp4RAOB","OneRepublic","I Ain't Worried","Interscope Records",51,69,5,"55232"
52,"spotify:track:1esZgaqm0YKN87CIP3orJ3","Minelli","Rampampam","WM Poland/WMI",6,55,48,"54819"
53,"spotify:track:0DflGtgoi2N431x231nfOU","Wellhello, VALMAR","Pezsgőeső","Supermanagement",16,52,9,"52601"
54,"spotify:track:7iH7aaTtLCZ9OdFkGAv7MB","BSW","Egyedül - Megb*sztam ezt a kis gádzsit","BSW",2,60,19,"52162"
55,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",16,59,73,"51993"
56,"spotify:track:0TyUOnU4H4GLqOcrH0auc8","Imagine Dragons","Sharks","KIDinaKORNER/Interscope Records",56,-1,1,"51313"
57,"spotify:track:1qEmFfgcLObUfQm0j1W2CK","Harry Styles","Late Night Talking","Columbia",14,51,6,"50650"
58,"spotify:track:7ef4DlsgrMEH11cDZd32M6","Calvin Harris, Dua Lipa","One Kiss (with Dua Lipa)","Sony Music UK",1,61,84,"50035"
59,"spotify:track:2RvZC77XsiE9x434T6o1S2","Tóth Andi","Néztek","TóthAndi Music",14,63,49,"49470"
60,"spotify:track:7EQq2RCCbFOR7XnN5J1vTv","Azahriah, DESH","RÉT","Gemini",7,48,86,"49423"
61,"spotify:track:3gJgPxfGZ563BKUxb1xL63","Azahriah, DESH","Megmentő","Supermanagement",15,54,6,"49171"
62,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",5,64,33,"48866"
