music,streams,average,std_dev
LOVE AGAIN,"[66510, 60588, 48049, 32180]",51831.75,13158.869753421073
Legnagyobb Rapper / Lamborghini Álmok,"[44465, 235394, 130405, 96477, 80294, 62395, 54609, 51466, 45603, 41907, 31602]",79510.63636363637,56379.44816601287
"Whenever, Wherever","[37622, 41585, 42178, 37850, 33799]",38606.8,3042.3892847563084
Mentalité,[34279],34279.0,0.0
I'm Not Here To Make Friends,[34127],34127.0,0.0
"Balenciaga, Pt. 2","[34102, 164130, 90691, 64126, 49754, 40798, 35178, 33962]",64092.625,41991.86598895523
Rossz kéz,"[204531, 128648, 100423, 85005, 67584, 56778, 57619, 52351, 48821, 39913, 37534, 33305]",76042.66666666667,47126.15822331467
"Rendben, Pt. 2 - Bonus Track","[163678, 102319, 73651, 58294, 46069, 41460, 42981, 37043, 35786]",66809.0,39795.052344620824
Hosszú út,"[143595, 81274, 57611, 45763, 35836]",72815.8,38501.38137469875
"""Soha"" Interlude","[86616, 44693]",65654.5,20961.5
"""Haza akarok menni"" Outro","[73180, 38027]",55603.5,17576.5
"""Nem érek haza"" Intro","[71075, 34734]",52904.5,18170.5
Spooky,"[69057, 39919]",54488.0,14569.0
Moshpit,"[61541, 37829]",49685.0,11856.0
VVS Cypher (Eüf),"[54341, 32687]",43514.0,10827.0
Csak Egy Kicsit,[43193],43193.0,0.0
TRUSTFALL,[43054],43054.0,0.0
Demode,[41107],41107.0,0.0
Watch The World Burn,[35591],35591.0,0.0
Tré,[32752],32752.0,0.0
Fiktív,[32566],32566.0,0.0
Atlanta Freestyle,[31131],31131.0,0.0
Színész,[30891],30891.0,0.0
Lost,"[98643, 65646, 41290, 35420]",60249.75,24895.530546415353
Boy's a liar Pt. 2,"[51996, 65502, 66718, 60328, 58614, 56070, 54156, 49879, 42678, 42780, 39383, 36313]",52034.75,9638.897984425745
Szalai - Akarok,"[45326, 39038, 36709]",40357.666666666664,3639.534066638506
9999,"[33769, 32120, 37287, 41257, 43801, 44669, 39098, 39363, 48549]",39990.333333333336,4948.751514832358
S&M,"[31304, 31985, 36535, 39919, 42602, 42568, 46864, 43349, 42653, 40306, 42664, 43344, 42961]",40542.61538461538,4419.536532235402
Ammonia,"[68785, 42377, 39525, 37416, 33123, 37130]",43059.333333333336,11835.69418702971
HOPE,"[63723, 43404, 33862]",46996.333333333336,12452.53586847095
U T C A,[56389],56389.0,0.0
4xNem,[56325],56325.0,0.0
Titanic freestyle,[55088],55088.0,0.0
